Actual,Predicted,Equal
energy-coupledthiaminetransporterThiT,alpha-ketoaciddehydrogenasesubunitbeta,False
penicillin-bindingprotein,-family,False
3-hydroxybutyryl-CoAdehydrogenase,-family,False
trifunctionalcarbamoyl-phosphatesynthase/dihydroorotase/aspartatecarbamoyltransferase,MFStransporter,False
cyclin,phosphateABCtransporterpermeasesubunit,False
methyl-acceptingchemotaxisprotein,bifunctionalalpha/betahydrolase/OsmCfamilyprotein,False
CBL-interactingserine/threonine-proteinkinase,DNAcross-linkrepairprotein,False
innexin/pannexinfamilyprotein,-family,False
achaete-scutefamilybasichelix-loop-helixdomain-containingprotein,basichelix-loop-helixdomain-containingprotein,False
phosphotransferaseenzymefamilyprotein,tRNAcytidine-methyltransferase,False
PRK06851familyprotein,-family,False
Ldhfamilyoxidoreductase,RsmDfamilyRNAmethyltransferase,False
DUF3922domain-containingprotein,DUF3892domain-containingprotein,False
patched/dispatchedfamilyprotein,-family,False
C40familypeptidase,peptidoglycanendopeptidase,False
MgtC/SapBfamilyprotein,S9familypeptidase,False
chemotaxisprotein,kelch-likeprotein,False
U32familypeptidase,-family,False
DUF4478familyprotein,nucleolusandneuralprogenitorprotein,False
RNApolymerasesporulationsigmafactor,sigma-70familyRNApolymerasesigmafactor,False
DUF3416domain-containingalpha-glycosidase,phosphatidylglycerollysyltransferasedomain-containingprotein,False
flagellartypeIIIsecretionsystemprotein,flagellarbiosyntheticproteinFliR,False
DUF1554domain-containingprotein,GNATfamilyN-acetyltransferase,False
bifunctionalGrpBfamilyprotein/GNATfamilyN-acetyltransferase,site-specificintegrase,False
EF-handdomain-containingprotein,calcium-bindingEGF-likedomain-containingprotein,False
DUF1542domain-containingprotein,hybridsensorhistidinekinase/responseregulator,False
telomerasereversetranscriptase,ATP-dependentendonuclease,False
flagellarmotorprotein,-family,False
primosomalprotein,-family,False
ankyrinrepeatdomain-containingprotein,ferredoxin,False
RPB7/RPC8familyDNA-directedRNApolymerasesubunit,DNA-directedRNApolymeraseIsubunit,False
helix-turn-helixdomain-containingprotein,XREfamilytranscriptionalregulator,False
GNATfamilyN-acetyltransferase,bifunctionalGNATfamilyN-acetyltransferase/guaninenucleotideexchangefactorMSS4familyprotein,False
lipidA1-phosphataseLpxE,septumsite-determiningproteinMinC,False
elongatorcomplexprotein,-family,False
DNAmismatchrepairproteinMutS,FAD-bindingoxidoreductase,False
SDRfamilyoxidoreductase,-family,False
LURP-one-related/scramblasefamilyprotein,sigma-54-dependentFisfamilytranscriptionalregulator,False
cbb3-typecytochromecoxidasesubunit,centromereproteinH,False
YdbTfamilyprotein,-family,False
GSK3-betainteractionprotein,JKAMPfamilyprotein,False
resuscitation-promotingfactor,MFStransporter,False
ABCtransportersubstrate-bindingprotein,Fe2-enterobactinABCtransportersubstrate-bindingprotein,False
acetolactatesynthasesmallsubunit,-family,False
McrBfamilyprotein,bifunctionalimidazoleglycerol-phosphatedehydratase/histidinolphosphatase,False
eukaryotictranslationinitiationfactor4E,-family,False
succinatedehydrogenaseiron-sulfursubunit,-family,False
2-hydroxyaciddehydrogenase,aldo/ketoreductase,False
peptidasefamilyprotein,M28familymetallopeptidase,False
P1familypeptidase,ZZ-typezincfingerprotein,False
LCPfamilyprotein,carbonstarvationproteinA,False
ABC-2transporterpermease,-family,False
DEPDC5/IML1familyprotein,wingedhelix-turn-helixdomain-containingprotein,False
LuxRfamilytranscriptionalregulator,SPREDfamilyWD40domain-containingprotein,False
FAM200familyprotein,-family,False
ribonucleaseD,fourhelixbundleprotein,False
GFAfamilyprotein,DUF-familyprotein,False
arylsulfatase,peroxidase,False
CRISPR-associatedendonuclease,CRISPR-associatedexonucleaseCas4,False
NADHdehydrogenasesubunit,-family,False
heme-bindingprotein,CoAtransferase,False
MAP/microtubuleaffinity-regulatingkinase,PXandBARdomain-containingprotein,False
YaaLfamilyprotein,DUF2523domain-containingprotein,False
LytRC-terminaldomain-containingprotein,LCPfamilyprotein,False
F0F1ATPsynthasesubunitepsilon,-family,False
MFStransporter,MFStransporter/fungalspecifictranscriptionfactordomain-containingprotein,False
ABCtransporterATP-bindingprotein,-family,False
helix-turn-helixtranscriptionalregulator,motilityassociatedfactorglycosyltransferasefamilyprotein,False
ABCtransportersubstrate-bindingprotein,tubulinfamilyprotein,False
DUF1266domain-containingprotein,-family,False
Zn(II)2Cys6transcriptionfactordomain-containingprotein,F420-dependentmethylenetetrahydromethanopterindehydrogenase,False
CPBPfamilyintramembraneglutamicendopeptidase,C-typelectindomain-containingprotein,False
sirohemesynthase,SprTfamilyzinc-dependentmetalloprotease,False
tRNA(Ile)(2)-agmatinylcytidinesynthase,thiolreductantABCexportersubunitCydD/CydC,False
2-isopropylmalatesynthase,metallophosphatase,False
bifunctionalC97familypeptidase/thioredoxinfamilyprotein,ATP-dependentmetallopeptidaseFtsH/Yme1/Tmafamilyprotein,False
transcriptionelongationfactor1familyprotein,UPF0193proteinEVG1,False
fertilityinhibitionproteinFinO,flagellarbasalbodyrodproteinFlgF,False
phospholipaseC,proteinPET117,False
DUF3302domain-containingprotein,DUF3301domain-containingprotein,False
fimbrialbiogenesisoutermembraneusherprotein,SDRfamilyoxidoreductase,False
dyneinaxonemallightchain4,dyneinlightchainfamilyprotein,False
flotillinfamilyprotein,-family,False
peptidyl-prolylcis-transisomerase,RNA-bindingprotein,False
beta-ketoacyl-acyl-carrier-proteinsynthase,polyketidesynthase,False
celldivisionprotein,-family,False
sporegerminationprotein,phageportalprotein,False
RRP6familyprotein,bifunctionalprecorrin-2C(20)-methyltransferase/precorrin-3BC(17)-methyltransferase,False
celldivisionprotein,-family,False
SICAfamilyprotein,"mureinL,D-transpeptidase",False
SANT/Myb-likeDNA-bindingdomain-containingprotein,MEF2familytranscriptionfactor,False
phosphoenolpyruvatecarboxylase,-family,False
4-(cytidine5'-diphospho)-2-C-methyl-D-erythritolkinase,-family,False
typeIIsecretionsystemprotein,-family,False
kynureninase,classIVadenylatecyclase,False
P-IIfamilynitrogenregulator,caseinkinaseIIsubunit,False
bromodomain-containingprotein,glutamate5-kinase,False
Zn(II)2Cys6transcriptionfactor,homoserineO-acetyltransferase,False
yippee-likeprotein,-family,False
zinc-bindingalcoholdehydrogenasefamilyprotein,galactitol-1-phosphate5-dehydrogenase,False
XPG/RAD2familyendonuclease,LCPfamilyprotein,False
antitoxin,-family,False
DUF1254domain-containingprotein,DUF2141domain-containingprotein,False
phosphoribosylformylglycinamidinecyclo-ligase,hydrogenaseexpression/formationprotein,False
citratelyaseholo-acyl-carrierproteinsynthase,-family,False
Sec7domain-containingprotein,Sec1familyprotein,False
SANT/Myb-likeDNA-bindingdomain-containingprotein,solutecarrierfamily25protein,False
bifunctionalterpenesynthase/polyprenylsynthetasefamilyprotein,C6transcriptionfactordomain-containingprotein,False
"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone5'-phosphatereductase",-family,False
glutaminesynthetase,site-specificintegrase,False
alpha/betahydrolase,helix-hairpin-helixdomain-containingprotein,False
asparaginesynthetase,radicalSAM/SPASMdomain-containingprotein,False
typeIglutamate--ammonialigase,-family,False
probableE3ubiquitin-proteinligase,E3ubiquitin-proteinligase,False
WWdomain-containingprotein,SANT/Myb-likeDNA-bindingdomain-containingprotein,False
hybridsensorhistidinekinase/responseregulator,MFStransporter,False
nicotinate-nucleotide--dimethylbenzimidazolephosphoribosyltransferase,"UDP-N-acetylglucosamine4,6-dehydratasefamilyprotein",False
type4apilusbiogenesisproteinPilO,typeIVpilusbiogenesis/stabilityprotein,False
cytochromec,iontransporter,False
TGF-beta-activatedkinase1andMAP3K7-bindingprotein,kelch-likeprotein,False
chemotaxisprotein,-family,False
bifunctionalGNATfamilyN-acetyltransferase/classISAM-dependentmethyltransferase,SWIMzincfingerfamilyprotein,False
electrontransportcomplexsubunit,-family,False
ubiquitin-associatedprotein1-like,histidinekinase,False
imidazoleglycerol-phosphatedehydratase,imelysinfamilyprotein,False
YggTfamilyprotein,sulfotransferasefamilyprotein,False
GOBfamilysubclassB3metallo-beta-lactamase,SPM-1familymetallo-beta-lactamase,False
GTP-bindingprotein,classISAM-dependentmethyltransferase,False
TRAPPC13familyprotein,-family,False
dipeptidase,putativeaminohydrolaseSsnA,False
RINGfingerprotein,-family,False
neurogenin,basichelix-loop-helixtranscriptionfactorscleraxis,False
ankyrinrepeatdomain-containingprotein,histonefamilyprotein,False
TIGR03364familyFAD-dependentoxidoreductase,"cob(I)yrinicacida,c-diamideadenosyltransferase",False
transposase,UTP15familyWD40repeatdomain-containingprotein,False
alpha/betahydrolase,cyclicnucleotide-bindingdomain-containingprotein,False
FAD-bindingoxidoreductase,-family,False
exodeoxyribonucleaseVsubunitbeta,-family,False
cyclicnucleotide-gatedionchannel,transcriptionterminationfactorRho,False
phosphoribosylformylglycinamidinesynthasesubunit,CND1familyprotein,False
sigmaDregulator,YfiMfamilylipoprotein,False
tyrosine-proteinkinase,proto-oncogenetyrosine-proteinkinase,False
ATP-bindingprotein,-family,False
S-adenosylmethioninetRNAribosyltransferase-isomerase,D-xyloseABCtransportersubstrate-bindingprotein,False
celldivisionprotein,-family,False
flagellarbiosyntheticproteinFliR,squamosapromoter-binding-likeprotein,False
eukaryotictranslationinitiationfactor2subunit,serine/threonine-proteinkinase,False
tRNA5-methoxyuridine(34)/uridine5-oxyaceticacid(34)synthaseCmoB,URC4/urg3familyprotein,False
4-hydroxy-tetrahydrodipicolinatereductase,4-hydroxy-tetrahydrodipicolinatesynthase,False
Ercc3/Rad25/XPBfamilyhelicase,cellcyclecheckpointprotein,False
FKBP-typepeptidyl-prolylcis-transisomerase,site-specificintegrase,False
GNATfamilyprotein,-family,False
PASdomain-containingGATA-typetranscriptionfactor,BTB/POZdomainandankyrinrepeat-containingprotein,False
HPF/RaiAfamilyribosome-associatedprotein,rRNAsmallsubunitmethyltransferaseB,False
antibioticbiosynthesismonooxygenase,-family,False
ornithinedecarboxylase,-family,False
DUF3929domain-containingprotein,DUF3921domain-containingprotein,False
isovaleryl-CoAdehydrogenase,zincABCtransportersubstrate-bindingproteinAdcA,False
phosphatidylinositol4-kinase,serine/threonine-proteinkinase,False
cytochromecbiogenesisprotein,S-adenosylmethionine-bindingdomain-containingprotein,False
mureintransglycosylase,-family,False
DUF1304domain-containingprotein,DUF1330domain-containingprotein,False
membrane-associatedtyrosine-andthreonine-specificcdc2-inhibitorykinase,aurorafamilyserine/threonine-proteinkinase,False
chemotaxisprotein,penicillin-bindingprotein,False
adenylatekinase,-family,False
sodiumsolutesymporter,NCS1familytransporter,False
2-oxoglutaratesynthasesubunitalpha,exodeoxyribonucleaseVsubunitgamma,False
formate-C-acetyltransferase-activatingenzyme,-family,False
homoserinekinase,-family,False
lipasefamilyprotein,-family,False
amidase,-family,False
cytochromeb,-family,False
histidinedecarboxylase,hemeutilizationcystosoliccarrierproteinHutX,False
DUF1195domain-containingprotein,DUF1192domain-containingprotein,False
transcriptioninitiationfactor,-family,False
adhesionglycoproteinserine-richrepeat-containingprotein,ABCtransporterATP-bindingprotein,False
recombinasefamilyprotein,Madfamilybasichelix-loop-helixdomain-containingprotein,False
phosphoribosyl-AMPcyclohydrolase,-family,False
tailassemblyprotein,-family,False
anhydro-N-acetylmuramicacidkinase,-family,False
ADP-ribosylglycohydrolasefamilyprotein,cytochromeb,False
NADP-dependentmalicenzyme,citrate(pro-3S)-lyaseligase,False
molecularchaperone,-family,False
SPFHdomain-containingprotein,leishmanolysin,False
N-acetylmuramoyl-L-alanineamidase,numbfamilyprotein,False
DUF4164domain-containingprotein,YpmAfamilyprotein,False
photosystemIIreactioncenterprotein,-family,False
RING-HCfingerprotein,flagellarhook-lengthcontrolproteinFliK,False
C2domain-containingprotein,FTIP1familyC2domain-containingprotein,False
EpsIfamilyprotein,ComFfamilyprotein,False
elongationfactor,TetR/AcrRfamilytranscriptionalregulator,False
MaffamilybZIPtranscriptionfactor,nitrogenase-stabilizing/protectiveproteinNifW,False
YciIfamilyprotein,-family,False
photosystemIIreactioncenterprotein,Vpu,False
cytochromecbiogenesisprotein,F0F1ATPsynthasesubunitgamma,False
adenosylcobinamideamidohydrolase,RNasePsubunitp30familyprotein,False
cationprotonantiporter,-family,False
bifunctionalindole-3-glycerolphosphatesynthase/phosphoribosylanthranilateisomerase,superoxidedismutase,False
allantoatepermeasefamilyMFStransporter,YbfB/YjiJfamilyMFStransporter,False
elongationfactor,-family,False
lipid-A-disaccharidesynthase,-family,False
tyrosine-proteinkinase,kelch-likeprotein,False
helix-turn-helixtranscriptionalregulator,ribonucleaseZfamilyprotein,False
1-acyl-sn-glycerol-3-phosphateacyltransferase,glycosidehydrolasefamilyprotein,False
tetratricopeptiderepeat-containingproteinkinase,-family,False
TetR/AcrRfamilytranscriptionalregulator,-family,False
4-hydroxy-tetrahydrodipicolinatesynthase,purpleacidphosphatase,False
thioredoxin-disulfidereductase,-family,False
uS17familyribosomalprotein,S19familyribosomalprotein,False
acylphosphatase,-family,False
RINGfingerprotein,-family,False
GTPase,SANT/Myb-likeDNA-bindingdomain-containingprotein,False
RCC1andBTBdomain-containingprotein,N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valinesynthase,False
BRCTdomain-containingprotein,PTSfructosetransportersubunit,False
phosphatestarvationprotein,deoxyribonucleaseIV,False
BUB1familyserine/threonine-proteinkinase,topless-relatedprotein,False
NAD()diphosphatase,FHY3/FAR1familyprotein,False
protein-disulfidereductaseDsbD,formatedehydrogenaseaccessorysulfurtransferaseFdhD,False
kelchrepeatandBTBdomain-containingprotein,BTBdomain-containingprotein,False
WDR46/Utp7familyWD40repeatdomain-containingprotein,WD40repeatdomain-containingprotein,False
typeIItoxin-antitoxinsystemantitoxin,helix-turn-helixdomain-containingprotein,False
celldivisionprotein,emopamil-bindingfamilyprotein,False
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphatephosphatase,-family,False
ValSfamilyprotein,-family,False
HyaD/HybDfamilyhydrogenasematurationendopeptidase,AIRsynthasefamilyprotein,False
DPM/DPGsynthasefamilyglycosyltransferase,glycosyltransferasefamilyprotein,False
myotubularinfamilyprotein,OSBPfamilyprotein,False
RluAfamilypseudouridinesynthase,multidrugABCtransporterpermease/ATP-bindingprotein,False
dihydrolipoyldehydrogenase,-family,False
transposase,ATP-bindingprotein,False
non-ribosomalpeptidesynthetase,typeIpolyketidesynthase,False
cytochromeP450,serine/threonine-proteinkinase,False
MSMEG0570familynitrogenstarvationresponseprotein,inorganicpyrophosphatase,False
threonine--tRNAligase,cytochromec,False
PLP-dependentaminotransferasefamilyprotein,-family,False
signalrecognitionparticlereceptorsubunitalpha,copperresistanceproteinCopC/CopD,False
N-acetyl-alpha-D-glucosaminylL-malatesynthaseBshA,adenosylhomocysteinase,False
DNAtopoisomerase,sequestosome-1,False
phosphatidatecytidylyltransferase,chorismatesynthase,False
PQ-looprepeat-containingprotein,MORNrepeat-containingprotein,False
bifunctionalRecBfamilynuclease/DEAD/DEAHboxhelicase,C13familypeptidase,False
YbcCfamilyprotein,pyrimidine/purinenucleosidephosphorylase,False
bridge-likelipidtransferprotein,N-acetylmuramidasefamilyprotein,False
reversetranscriptasefamilyprotein,dualspecificitymitogen-activatedproteinkinasekinase,False
aminodeoxychorismatelyase,D-aminoacidaminotransferase,False
PHDfingerdomain-containingprotein,RNF19familyE3ubiquitin-proteinligase,False
serine--tRNAligase,sporecortex-lyticenzyme,False
zinc-dependentmetalloprotease,TIGR04500familyputativepeptidematurationsystemprotein,False
cyclin-dependentkinase,mitogen-activatedproteinkinase,False
HADfamilyhydrolase,ComEAfamilyDNA-bindingprotein,False
HADfamilyhydrolase,GNATfamilyN-acetyltransferase,False
DUF2239familyprotein,DUF2237domain-containingprotein,False
phenylacetate--CoAligasefamilyprotein,fibrillarin-likerRNA/tRNA2'-O-methyltransferase,False
mitochondriallargeribosomalsubunitprotein,TRM13familyclassISAM-dependentmethyltransferase,False
immunoglobulindomain-containingprotein,FGFR/PDGFR/VEGFRfamilyreceptortyrosine-proteinkinase,False
non-ribosomalpeptidesynthetase,-family,False
ribose-phosphatepyrophosphokinase,-family,False
RhoGTPase-activatingprotein,iron-containingredoxenzymefamilyprotein,False
dehydrogenase/reductaseSDRfamilymember,CBSdomain-containingprotein,False
endonucleaseIfamilyprotein,-family,False
proteintranslocasesubunit,-family,False
Mcm10/DnaG-typezincfingerprotein,nucleotidyltransferasefamilyprotein,False
"CDP-6-deoxy-delta-3,4-glucoseenreductase",-family,False
YqfOfamilyprotein,DUF106domain-containingprotein,False
CCAtRNAnucleotidyltransferase,excinucleaseABCsubunitUvrA,False
DUF389domain-containingprotein,DUF349domain-containingprotein,False
proteasome-typeprotease,archaealproteasomeendopeptidasecomplexsubunit,False
ethanolamine-phosphatecytidylyltransferase,-family,False
26Sproteasomeregulatorysubunit,-family,False
PHF14familyPHDfingerdomain-containingprotein,phosphatidylinositol3-kinase,False
DUF3274domain-containingprotein,DUF3271domain-containingprotein,False
histoneH2A,-family,False
DUF1360domain-containingprotein,DUF1361domain-containingprotein,False
BTB/POZandTAZdomain-containingprotein,zincfingerandBTBdomain-containingprotein,False
IlvD/Eddfamilydehydratase,-family,False
DEAD/DEAHboxhelicase,PIF1familyATP-dependentDNAhelicase,False
ARID/BRIGHTDNA-bindingdomain-containingprotein,AT-richinteractivedomain-containingprotein,False
BTB/POZdomain-containingprotein,-family,False
recombinasefamilyprotein,NAD(P)-bindingprotein,False
iron-sulfurclusterinsertionproteinErpA,-family,False
DUF2756domain-containingprotein,YaaIfamilyprotein,False
SRPBCCfamilyprotein,GNATfamilyN-acetyltransferase,False
IBRdomain-containingprotein,CBSdomain-containingprotein,False
bifunctionalglutathionylspermidineamidase/synthetase,"cob(I)yrinicacida,c-diamideadenosyltransferase",False
cardiolipinsynthase,typeIpolyketidesynthase,False
cytochromeubiquinoloxidasesubunit,pseudoazurin,False
ARMrepeatandBTB/POZdomain-containingprotein,rho-relatedBTBdomain-containingprotein,False
CZBdomain-containingprotein,virulencefactor,False
B-boxzincfingerprotein,UBXdomain-containingprotein,False
glutathionylspermidinesynthasepreATP-graspfamilyprotein,-family,False
S41familypeptidase,DEAD/DEAHboxDNAhelicase,False
UDP-3-O-acyl-N-acetylglucosaminedeacetylase,3-oxoacyl-ACPsynthaseIIIfamilyprotein,False
NADHpyrophosphatase,helix-turn-helixtranscriptionalregulator,False
fasciculationandelongationproteinzeta,PITHdomain-containingprotein,False
DUF4913domain-containingprotein,DUF4894domain-containingprotein,False
PHDfingerdomain-containingprotein,zincribbondomain-containingprotein,False
DUF859domain-containingprotein,tropomyosin,False
3-methyl-2-oxobutanoatehydroxymethyltransferase,-family,False
YitTfamilyprotein,3Ddomain-containingprotein,False
L-fucosepermease,MFStransporter,False
TIGR00297familyprotein,LrgBfamilyprotein,False
phagetailprotein,phagetailfiberrepeatfamilyprotein,False
DUF2126domain-containingprotein,zinc-dependentmetalloprotease,False
helix-turn-helixtranscriptionalregulator,helix-turn-helixdomain-containingprotein,False
NAD(P)H-quinoneoxidoreductasesubunit,-family,False
U3smallnucleolarribonucleoproteinproteinMPP10,LemAfamilyprotein,False
competence/damage-inducibleproteinA,vitaminB12-dependentribonucleotidereductase,False
nuclearenvelopeintegralmembraneprotein,CmpA/NrtAfamilyABCtransportersubstrate-bindingprotein,False
serine/threonine-proteinkinase,PDPK1familyserine/threonine-proteinkinase,False
nucleotideexchangefactorGrpE,universalstressprotein,False
DUF2025familyprotein,DUF2381familyprotein,False
TGF-beta-activatedkinase1andMAP3K7-bindingprotein,kelch-likeprotein,False
DUF346domain-containingprotein,C2domain-containingprotein,False
RING-HCfingerprotein,Rossmann-likeandDUF2520domain-containingprotein,False
ABCtransporterATP-bindingprotein,-family,False
WD40repeatdomain-containingprotein,vWAdomain-containingprotein,False
fusionglycoproteinF0,nitroreductasefamilyprotein,False
adenylate/guanylatecyclasedomain-containingprotein,GATA-typetranscriptionfactor,False
ATPtransporterATP-bindingprotein/permease,supervillin,False
transcriptiontermination/antiterminationproteinNusA,-family,False
C1familypeptidase,ZZ-typezincfingerprotein,False
PQQ-binding-likebeta-propellerrepeatprotein,DUF4105domain-containingprotein,False
aldehydereductase,haloalcoholdehalogenase,False
translationinitiationfactorIF-3,-family,False
Rhafamilyphageregulatoryprotein,CPW-WPCfamilyprotein,False
TIGR03089familyprotein,DUF697domain-containingprotein,False
histoneH2A,histoneH1/H5familyprotein,False
fructose-bisphosphatealdolase,-family,False
proteinkinasefamilyprotein,-family,False
YcaO-likefamilyprotein,DNA-3-methyladenineglycosylase,False
CorAfamilymagnesiumtransporter,magnesiumtransporterCorAfamilyprotein,False
LCPfamilyprotein,FHAdomain-containingprotein,False
DUF4156domain-containingprotein,DUF4159domain-containingprotein,False
DUF389domain-containingprotein,DUF295domain-containingF-boxprotein,False
EscC/YscC/HrcCfamilytypeIIIsecretionsystemoutermembraneringprotein,EscT/YscT/HrcTfamilytypeIIIsecretionsystemexportapparatusprotein,False
NADPH--cytochromeP450reductase,sulfitereductaseflavoproteinsubunitalpha,False
regulatoryprotein,EALdomain-containingresponseregulator,False
NmrAfamilyNAD(P)-bindingprotein,TMEM120familyprotein,False
spermmotilitykinase,serine/threonine-proteinkinase,False
DHHCfamilypalmitoyltransferase,solutecarrierfamily25protein,False
Spc97/Spc98familyprotein,SPREDfamilyWD40domain-containingprotein,False
DUF621familyprotein,glycosyltransferasefamilyprotein,False
Tol-PalsystemproteinTolB,-family,False
olfactoryreceptor,neuropeptideYreceptorfamilyprotein,False
aminomethyltransferasefamilyprotein,-family,False
SmaugfamilySAMdomain-containingprotein,RNA-bindingprotein,False
DUF1223domain-containingprotein,proteinkish,False
plasmidsegregationproteinParM,dodecinfamilyprotein,False
serine/threonine-proteinkinase,classISAM-dependentmethyltransferase,False
snurportin-1,site-specificintegrase,False
peroxiredoxin,thioredoxinfamilyprotein,False
P-typeconjugativetransferprotein,methyl-acceptingchemotaxisprotein,False
segregation/condensationproteinA,-family,False
MFStransporter/GAL4/fungalspecifictranscriptionfactordomain-containingprotein,Zn(II)2Cys6transcriptionfactor,False
isocitrate/isopropylmalatedehydrogenasefamilyprotein,-family,False
DEAD/DEAHboxhelicase,smallVCP/p97-interactingprotein,False
Texfamilyprotein,-family,False
nitrogenaseiron-molybdenumcofactorbiosynthesisprotein,-family,False
N-formimino-L-glutamatedeiminase,amidohydrolase,False
AraCfamilytranscriptionalregulator,endonuclease/exonuclease/phosphatasefamilyprotein,False
F420-dependenthydroxymycolicaciddehydrogenase,lipoprotein-releasingABCtransporterpermeasesubunitLolC,False
ATPsynthaseF0subunit,-family,False
NAD(P)/FAD-dependentoxidoreductase,CinAfamilyprotein,False
DNA-directedRNApolymerasesubunit,-family,False
spermidine/sperminesynthase,-family,False
CDC14familyproteinphosphatase,C-terminalhelicasedomain-containingprotein,False
pentapeptiderepeat-containingprotein,MFStransporter,False
hybridsensorhistidinekinase/responseregulator,GGDEFdomain-containingresponseregulator,False
glycogensynthase,-family,False
transposase,MerRfamilytranscriptionalregulator,False
HHAdomain-containingprotein,carboxynorspermidinedecarboxylase,False
zincfingerCCHCdomain-containingprotein,cbb3-typecytochromecoxidasesubunit,False
thiopurineS-methyltransferase,UbiH/UbiF/VisC/COQ6familyubiquinonebiosynthesishydroxylase,False
cytochromecbiogenesisprotein,YqiJfamilyprotein,False
Ras-likeprotein,GTPase,False
DUF3830familyprotein,DUF3833domain-containingprotein,False
sensorhistidinekinase,-family,False
typeVIsecretionsystem-associatedprotein,DUF2familydomain-containingprotein,False
autophagy-relatedprotein,PspCdomain-containingprotein,False
conjugativetransposonprotein,DUF4136domain-containingprotein,False
3-hydroxybutyryl-CoAdehydrogenase,-family,False
rhoguaninenucleotideexchangefactor,cationtransporter,False
PKAfamilyserine/threonine-proteinkinase,-family,False
bifunctionaldiguanylatecyclase/phosphodiesterase,SLC13familypermease,False
MurR/RpiRfamilytranscriptionalregulator,molybdenum-dependenttranscriptionalregulator,False
serineprotease,-family,False
TraCfamilyprotein,-family,False
NarKfamilynitrate/nitriteMFStransporter,MFStransporter,False
transcriptioninitiationfactor,Rho-relatedGTP-bindingproteinRhoU-like,False
50Sribosomalprotein,-family,False
GGDEFandEALdomain-containingprotein,PASdomain-containingsensorhistidinekinase,False
stageIIIsporulationprotein,-family,False
DEAD/DEAHboxhelicase,-family,False
PstSfamilyphosphateABCtransportersubstrate-bindingprotein,sulfonateABCtransportersubstrate-bindingprotein,False
BTB/POZdomain-containingprotein,RCC1andBTBdomain-containingprotein,False
PHF20familyPHDfingerdomain-containingprotein,PHDfingerdomain-containingprotein,False
CUGBPElav-likefamilyprotein,cleavageandpolyadenylationspecificityfactorsubunit,False
flagellarexportchaperoneFliS,Hsp33familymolecularchaperoneHslO,False
transposase,-family,False
CCDC34familyprotein,DUF4208domain-containingprotein,False
HEPNdomain-containingprotein,HDdomain-containingprotein,False
RNA-bindingprotein,splicingfactorSRfamilyRNA-bindingprotein,False
UBAdomain-containingprotein,ABCtransportersubstrate-bindingprotein,False
RhoGEFfamilyprotein,myocyte-specificenhancerfactor2,False
transmembranefamilyprotein,DUF4391domain-containingprotein,False
